#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
3	0.000269197	0.00147158	1
4	0.000247034	0.00133699	1
5	0.000227312	0.00121308	1
6	0.000209531	0.00110092	1
7	0.000193414	0.000999727	1
1	0.000378562	1	1
2	0.000330734	0.00179703	1
3	0.00030289	0.00165082	1
4	0.000279273	0.00150398	1
5	0.000258183	0.00136873	1
6	0.000239117	0.00124609	1
7	0.000221787	0.00113521	1
8	0.000205979	0.00103496	1
9	0.000191517	0.000944256	1
1	0.000392883	1	1
2	0.000346667	0.00187003	1
3	0.000319492	0.00172414	1
4	0.00029633	0.00157701	1
5	0.000275573	0.00144109	1
6	0.000256744	0.00131746	1
7	0.000239568	0.00120533	1
8	0.000223838	0.00110362	1
9	0.000209388	0.00101129	1
10	0.000196075	0.000927422	1
1	0.000416153	1	1
2	0.000371524	0.00198709	1
3	0.000344777	0.00183943	1
4	0.000321842	0.00169005	1
5	0.000301213	0.00155162	1
6	0.000282436	0.00142527	1
7	0.000265246	0.00131024	1
8	0.000249444	0.00120553	1
9	0.000234866	0.00111012	1
10	0.000221377	0.00102313	1
11	0.00020886	0.000943717	1
1	0.000443409	1	1
2	0.000400983	0.00210996	1
3	0.000375036	0.001962	1
4	0.000352638	0.00181182	1
5	0.000332403	0.00167212	1
6	0.000313911	0.0015441	1
7	0.000296911	0.00142707	1
8	0.000281215	0.0013201	1
9	0.000266668	0.00122224	1
10	0.00025314	0.00113262	1
11	0.000240523	0.00105048	1
12	0.000228723	0.000975119	1
1	0.000470529	1	1
2	0.000431127	0.00220556	1
3	0.000406668	0.00206112	1
4	0.00038542	0.00191376	1
5	0.000366131	0.00177605	1
6	0.000348422	0.0016493	1
7	0.000332065	0.00153292	1
8	0.000316887	0.00142608	1
9	0.000302748	0.0013279	1
10	0.00028953	0.00123761	1
11	0.000277132	0.00115448	1
12	0.000265471	0.00107787	1
13	0.000254474	0.0010072	1
14	0.000244077	0.000941943	1
1	0.000481371	1	1
2	0.000446396	0.00217915	1
3	0.000424816	0.00204789	1
4	0.000406005	0.00191245	1
5	0.00038885	0.00178512	1
6	0.000373023	0.00166732	1
7	0.000358327	0.00155868	1
8	0.000344616	0.00145846	1
9	0.000331769	0.00136597	1
10	0.000319689	0.00128051	1
11	0.00030829	0.00120148	1
12	0.000297503	0.00112832	1
13	0.000287266	0.00106053	1
14	0.000277528	0.000997652	1
1	0.00050329	1	1
2	0.000472471	0.00216854	1
3	0.000453513	0.00204857	1
4	0.000436917	0.00192344	1
5	0.000421706	0.00180511	1
6	0.000407596	0.00169512	1
7	0.000394423	0.00159321	1
8	0.000382061	0.00149882	1
9	0.000370412	0.00141131	1
10	0.000359394	0.00133012	1
11	0.000348938	0.00125473	1
12	0.000338984	0.00118464	1
13	0.000329484	0.00111943	1
14	0.000320394	0.00105868	1
15	0.000311678	0.00100205	1
16	0.000303305	0.000949205	1
1	0.000494712	1	1
2	0.000469474	0.00194391	1
3	0.000454582	0.00184763	1
4	0.000441535	0.00174465	1
5	0.000429501	0.00164637	1
6	0.000418256	0.00155449	1
7	0.000407673	0.00146895	1
8	0.000397662	0.00138936	1
9	0.000388153	0.00131524	1
10	0.000379087	0.00124618	1
11	0.000370417	0.00118177	1
12	0.000362102	0.00112163	1
13	0.000354107	0.00106543	1
14	0.000346402	0.00101287	1
15	0.000338964	0.000963653	1
1	0.000487592	1	1
2	0.000467145	0.00170309	1
3	0.000455614	0.00162835	1
4	0.000445504	0.0015456	1
5	0.000436107	0.00146575	1
6	0.000427247	0.00139064	1
7	0.000418831	0.00132038	1
8	0.000410796	0.00125473	1
9	0.000403097	0.00119334	1
10	0.000395696	0.0011359	1
11	0.000388561	0.00108211	1
12	0.000381666	0.00103169	1
13	0.00037499	0.000984389	1
1	0.000466122	1	1
2	0.000450936	0.00137001	1
3	0.000443233	0.00132014	1
4	0.000436155	0.00126154	1
5	0.000429089	0.00120346	1
6	0.000422359	0.00114782	1
7	0.000415919	0.00109679	1
8	0.000409702	0.00104948	1
9	0.000403663	0.00100473	1
10	0.000397788	0.000962471	1
1	0.000426136	1	1
2	0.000417038	0.000995495	1
