origElemNum,globCoord-x,globCoord-y,fluidMechStrainRate-real-xx,fluidMechStrainRate-real-yy,fluidMechStrainRate-real-xy,fluidMechStrainRate-imag-xx,fluidMechStrainRate-imag-yy,fluidMechStrainRate-imag-xy,locCoord-xi,locCoord-eta
28,0.0056,-2.44593e-19,-9.01956e-14,-0.0364623,9.78477,-1.11029e-12,-0.102674,7.29145,1,-0.632239
28,0.00561,-2.45103e-19,-8.91844e-14,-0.0365488,9.84329,-1.11462e-12,-0.0994925,7.36828,1,-0.641698
28,0.00562,0,-8.86114e-14,-0.0366324,9.90175,-1.11926e-12,-0.0962461,7.445,1,-0.651157
28,0.00563,0,-8.76001e-14,-0.0367132,9.96013,-1.12359e-12,-0.0929355,7.52161,1,-0.660616
28,0.00564,0,-8.65888e-14,-0.0367912,10.0184,-1.12792e-12,-0.0895608,7.59812,1,-0.670075
28,0.00565,-3.70713e-19,-8.49019e-14,-0.0368663,10.0767,-1.13173e-12,-0.0861227,7.67452,1,-0.679534
28,0.00566,-3.71478e-19,-8.38924e-14,-0.0369387,10.1349,-1.13606e-12,-0.0826213,7.75082,1,-0.688993
28,0.00567,-2.48161e-19,-8.30996e-14,-0.0370082,10.193,-1.14057e-12,-0.0790572,7.82701,1,-0.698452
28,0.00568,-2.48671e-19,-8.20832e-14,-0.0370751,10.251,-1.1449e-12,-0.0754307,7.9031,1,-0.707911
28,0.00569,-3.73771e-19,-8.0844e-14,-0.0371391,10.309,-1.14903e-12,-0.0717422,7.97909,1,-0.71737
28,0.0057,-3.74536e-19,-7.98289e-14,-0.0372005,10.3669,-1.15336e-12,-0.0679921,8.05497,1,-0.726829
28,0.00571,-2.502e-19,-7.90466e-14,-0.0372591,10.4247,-1.15786e-12,-0.0641808,8.13075,1,-0.736288
28,0.00572,-2.5071e-19,-7.80327e-14,-0.037315,10.4825,-1.16219e-12,-0.0603085,8.20643,1,-0.745747
28,0.00573,-2.5122e-19,-7.70161e-14,-0.0373682,10.5402,-1.16651e-12,-0.0563758,8.28202,1,-0.755206
28,0.00574,-3.77594e-19,-7.57711e-14,-0.0374188,10.5978,-1.17066e-12,-0.0523829,8.3575,1,-0.764665
28,0.00575,-3.78359e-19,-7.4756e-14,-0.0374668,10.6554,-1.17499e-12,-0.0483303,8.43288,1,-0.774124
28,0.00576,-3.79124e-19,-7.37408e-14,-0.0375121,10.7129,-1.17931e-12,-0.0442182,8.50817,1,-0.783583
28,0.00577,0,-7.34417e-14,-0.0375548,10.7703,-1.18421e-12,-0.0400471,8.58335,1,-0.793042
28,0.00578,-2.53769e-19,-7.1943e-14,-0.0375949,10.8277,-1.18817e-12,-0.0358173,8.65844,1,-0.8025
28,0.00579,-3.81418e-19,-7.06926e-14,-0.0376324,10.885,-1.19228e-12,-0.0315292,8.73343,1,-0.811959
28,0.0058,-2.54788e-19,-6.99221e-14,-0.0376673,10.9422,-1.1968e-12,-0.0271831,8.80833,1,-0.821418
28,0.00581,-2.55298e-19,-6.89055e-14,-0.0376997,10.9994,-1.20112e-12,-0.0227793,8.88313,1,-0.830877
28,0.00582,-2.55808e-19,-6.78917e-14,-0.0377295,11.0565,-1.20545e-12,-0.0183182,8.95784,1,-0.840336
28,0.00583,-2.56317e-19,-6.68768e-14,-0.0377569,11.1136,-1.20979e-12,-0.0138002,9.03245,1,-0.849795
28,0.00584,-2.56827e-19,-6.58618e-14,-0.0377817,11.1706,-1.21413e-12,-0.00922555,9.10697,1,-0.859254
28,0.00585,-2.57337e-19,-6.4845e-14,-0.037804,11.2275,-1.21845e-12,-0.00459463,9.18139,1,-0.868713
28,0.00586,-2.57847e-19,-6.3831e-14,-0.0378239,11.2844,-1.22278e-12,9.22439e-05,9.25572,1,-0.878172
28,0.00587,-2.58356e-19,-6.28255e-14,-0.0378412,11.3412,-1.22709e-12,0.00483473,9.32996,1,-0.887631
28,0.00588,0,-6.23173e-14,-0.0378562,11.3979,-1.23183e-12,0.0096325,9.40411,1,-0.89709
28,0.00589,0,-6.1306e-14,-0.0378687,11.4546,-1.23616e-12,0.0144852,9.47817,1,-0.906549
28,0.0059,-3.89828e-19,-5.95238e-14,-0.0378788,11.5112,-1.23986e-12,0.0193926,9.55214,1,-0.916008
28,0.00591,-3.90593e-19,-5.85144e-14,-0.0378864,11.5678,-1.24419e-12,0.0243543,9.62601,1,-0.925467
28,0.00592,-2.60905e-19,-5.77519e-14,-0.0378917,11.6243,-1.24873e-12,0.02937,9.6998,1,-0.934926
28,0.00593,-2.61415e-19,-5.67361e-14,-0.0378946,11.6807,-1.25307e-12,0.0344394,9.7735,1,-0.944385
28,0.00594,-3.92887e-19,-5.54664e-14,-0.0378952,11.7371,-1.25716e-12,0.0395621,9.84711,1,-0.953844
28,0.00595,-3.93652e-19,-5.44513e-14,-0.0378934,11.7934,-1.26148e-12,0.0447379,9.92063,1,-0.963303
28,0.00596,-2.62944e-19,-5.37015e-14,-0.0378892,11.8497,-1.26603e-12,0.0499665,9.99406,1,-0.972762
28,0.00597,-2.63454e-19,-5.26877e-14,-0.0378828,11.9059,-1.27035e-12,0.0552475,10.0674,1,-0.982221
28,0.00598,-2.63964e-19,-5.16711e-14,-0.037874,11.9621,-1.27468e-12,0.0605806,10.1407,1,-0.99168
28,0.00599,-3.9671e-19,-5.03777e-14,-0.0378629,12.0182,-1.2788e-12,0.0659656,10.2138,1,-1.00114
80,0.006,2.64907e-19,-3.98929e-13,-0.0704714,30.2307,-2.3922e-12,-0.00782323,50.1908,1,0.983385
80,0.00601,2.65348e-19,-3.68324e-13,-0.0668126,28.8122,-2.38503e-12,-0.00631651,49.8754,1,0.968554
80,0.00602,5.31579e-19,-3.38739e-13,-0.0632207,27.3961,-2.38013e-12,-0.00487471,49.5606,1,0.953724
80,0.00603,2.66231e-19,-3.06865e-13,-0.0596953,25.9825,-2.37071e-12,-0.00349751,49.2465,1,0.938894
80,0.00604,5.33345e-19,-2.77156e-13,-0.0562362,24.5712,-2.36578e-12,-0.00218458,48.933,1,0.924063
80,0.00605,2.67114e-19,-2.45224e-13,-0.052843,23.1624,-2.35648e-12,-0.000935608,48.6202,1,0.909233
80,0.00606,5.35111e-19,-2.15573e-13,-0.0495154,21.7559,-2.35144e-12,0.000249723,48.3079,1,0.894403
80,0.00607,5.35994e-19,-1.84782e-13,-0.046253,20.3518,-2.34427e-12,0.00137173,47.9964,1,0.879573
80,0.00608,5.36878e-19,-1.53992e-13,-0.0430556,18.95,-2.33709e-12,0.00243072,47.6854,1,0.864742
80,0.00609,5.37761e-19,-1.23201e-13,-0.0399228,17.5506,-2.32992e-12,0.00342701,47.3751,1,0.849912
80,0.0061,5.38644e-19,-9.24107e-14,-0.0368542,16.1535,-2.32275e-12,0.00436091,47.0654,1,0.835082
80,0.00611,5.39527e-19,-6.16206e-14,-0.0338497,14.7588,-2.31558e-12,0.00523272,46.7563,1,0.820251
80,0.00612,5.4041e-19,-3.08307e-14,-0.0309088,13.3663,-2.30841e-12,0.00604275,46.4479,1,0.805421
80,0.00613,5.41293e-19,-4.10428e-17,-0.0280313,11.9762,-2.30123e-12,0.00679129,46.14,1,0.790591
80,0.00614,2.71088e-19,3.12494e-14,-0.0252168,10.5884,-2.29198e-12,0.00747866,45.8328,1,0.775761
